heuristic,reg_cycles,opt_cycles
0,73,55
0,120,90
0,92,90
0,108,59
0,75,51
0,242,89
0,92,62
0,124,87
0,167,59
0,38,24
0,46,33
0,60,40
0,58,36
0,58,36
0,75,51
0,2,2
0,73,55
0,46,33
0,124,87
0,108,59
1,73,57
1,120,120
1,92,90
1,108,60
1,75,59
1,242,109
1,92,66
1,124,92
1,167,68
1,38,26
1,46,33
1,60,40
1,58,40
1,58,40
1,75,59
1,2,2
1,73,57
1,46,33
1,124,92
1,108,60
2,73,59
2,120,104
2,92,103
2,108,67
2,75,62
2,242,109
2,92,67
2,124,94
2,167,66
2,38,24
2,46,33
2,60,47
2,58,47
2,58,42
2,75,62
2,2,2
2,73,58
2,46,36
2,124,96
2,108,63
